season,week,actual_eliminated,actual_count,predicted_eliminated_rank,predicted_partner_rank,correct_rank,exact_match_rank,predicted_eliminated_percent,predicted_partner_percent,correct_percent,exact_match_percent
26,2,"Kareem Abdul-Jabbar, Arike Ogunbowale",2,"Jennie Finch Daigle, Josh Norman","Keo Motsepe, Sharna Burgess",0.0,0,"Kareem Abdul-Jabbar, Arike Ogunbowale","Lindsay Arnold, Gleb Savchenko",1.0,1
26,3,"Jennie Finch Daigle, Mirai Nagasu, Chris Mazdzer",3,"Jennie Finch Daigle, Chris Mazdzer, Mirai Nagasu","Keo Motsepe, Witney Carson, Alan Bersten",1.0,1,"Jennie Finch Daigle, Chris Mazdzer, Mirai Nagasu","Keo Motsepe, Witney Carson, Alan Bersten",1.0,1
27,1,Nikki Glaser,1,Joe Amabile,Jenna Johnson,0.0,0,Nikki Glaser,Gleb Savchenko,1.0,1
27,2,Danelle Umstead,1,Joe Amabile,Jenna Johnson,0.0,0,Danelle Umstead,Artem Chigvintsev,1.0,1
27,3,Nancy McKeon,1,Joe Amabile,Jenna Johnson,0.0,0,Nancy McKeon,Valentin Chmerkovskiy,1.0,1
27,4,Tinashe,1,Joe Amabile,Jenna Johnson,0.0,0,John Schneider,Emma Slater,0.0,0
27,6,Mary Lou Retton,1,John Schneider,Emma Slater,0.0,0,Mary Lou Retton,Sasha Farber,1.0,1
27,7,"DeMarcus Ware, John Schneider",2,"Joe Amabile, John Schneider","Jenna Johnson, Emma Slater",0.5,0,"John Schneider, DeMarcus Ware","Emma Slater, Lindsay Arnold",1.0,1
27,8,"Juan Pablo Di Pace, Joe Amabile",2,"Bobby Bones, Joe Amabile","Sharna Burgess, Jenna Johnson",0.5,0,"Joe Amabile, Bobby Bones","Jenna Johnson, Sharna Burgess",0.5,0
28,2,"Mary Wilson, Ray Lewis",2,"Mary Wilson, Lamar Odom","Brandon Armstrong, Peta Murgatroyd",0.5,0,"Lamar Odom, Ray Lewis","Peta Murgatroyd, Cheryl Burke",0.5,0
28,4,Lamar Odom,1,Lamar Odom,Peta Murgatroyd,1.0,1,Lamar Odom,Peta Murgatroyd,1.0,1
28,6,Sailor Brinkley-Cook,1,Hannah Brown,Alan Bersten,0.0,0,Sean Spicer,Lindsay Arnold,0.0,0
28,7,Karamo Brown,1,Karamo Brown,Jenna Johnson,1.0,1,Sean Spicer,Lindsay Arnold,0.0,0
28,8,Kate Flannery,1,Kate Flannery,Pasha Pashkov,1.0,1,Sean Spicer,Lindsay Arnold,0.0,0
28,9,Sean Spicer,1,Sean Spicer,Lindsay Arnold,1.0,1,Sean Spicer,Lindsay Arnold,1.0,1
28,10,James Van Der Beek,1,James Van Der Beek,Emma Slater,1.0,1,Lauren Alaina,Gleb Savchenko,0.0,0
29,2,Charles Oakley,1,Charles Oakley,Emma Slater,1.0,1,Charles Oakley,Emma Slater,1.0,1
29,3,Carole Baskin,1,Carole Baskin,Pasha Pashkov,1.0,1,Anne Heche,Keo Motsepe,0.0,0
29,4,Anne Heche,1,Anne Heche,Keo Motsepe,1.0,1,Jesse Metcalfe,Sharna Burgess,0.0,0
29,5,Jesse Metcalfe,1,Jesse Metcalfe,Sharna Burgess,1.0,1,Jesse Metcalfe,Sharna Burgess,1.0,1
29,6,Veron Davis,1,Veron Davis,Peta Murgatroyd,1.0,1,Chrishell Stause,Gleb Savchenko,0.0,0
29,7,"Monica Aldama, Jeannie Mai",2,"Monica Aldama, Jeannie Mai","Valentin Chmerkovskiy, Brandon Armstrong",1.0,1,"Jeannie Mai, Monica Aldama","Brandon Armstrong, Valentin Chmerkovskiy",1.0,1
29,8,Chrishell Stause,1,Chrishell Stause,Gleb Savchenko,1.0,1,Skai Jackson,Alan Bersten,0.0,0
29,9,AJ McLean,1,AJ McLean,Cheryl Burke,1.0,1,Nelly,Daniella Karagach,0.0,0
29,10,"Skai Jackson, Johnny Weir",2,"Johnny Weir, Nelly","Britt Stewart, Daniella Karagach",0.5,0,"Nelly, Johnny Weir","Daniella Karagach, Britt Stewart",0.5,0
30,2,Martin Kove,1,Martin Kove,Britt Stewart,1.0,1,Martin Kove,Britt Stewart,1.0,1
30,3,Christine Chiu,1,Cody Rigsby,Cheryl Burke,0.0,0,Christine Chiu,Pasha Pashkov,1.0,1
30,4,"Matt James, Brian Austin Green",2,"Brian Austin Green, Matt James","Sharna Burgess, Lindsay Arnold",1.0,1,"Brian Austin Green, Kenya Moore","Sharna Burgess, Brandon Armstrong",0.5,0
30,5,Melanie C,1,Iman Shumpert,Daniella Karagach,0.0,0,Iman Shumpert,Daniella Karagach,0.0,0
30,6,Kenya Moore,1,Kenya Moore,Brandon Armstrong,1.0,1,Kenya Moore,Brandon Armstrong,1.0,1
30,7,"Mike ""The Miz"" Mizanin",1,"Mike ""The Miz"" Mizanin",Witney Carson,1.0,1,"Mike ""The Miz"" Mizanin",Witney Carson,1.0,1
30,8,"Jimmie Allen, Olivia Jade",2,"Jimmie Allen, Olivia Jade","Emma Slater, Valentin Chmerkovskiy",1.0,1,"Jimmie Allen, Iman Shumpert","Emma Slater, Daniella Karagach",0.5,0
30,9,"Melora Hardin, Suni Lee",2,"Melora Hardin, Cody Rigsby","Artem Chigvintsev, Cheryl Burke",0.5,0,"Melora Hardin, Cody Rigsby","Artem Chigvintsev, Cheryl Burke",0.5,0
31,1,Jason Lewis,1,Jason Lewis,Peta Murgatroyd,1.0,1,Vinny Guadagnino,Koko Iwasaki,0.0,0
31,2,Teresa Giudice,1,Teresa Giudice,Pasha Pashkov,1.0,1,Cheryl Ladd,Louis van Amstel,0.0,0
31,3,Cheryl Ladd,1,Cheryl Ladd,Louis van Amstel,1.0,1,Vinny Guadagnino,Koko Iwasaki,0.0,0
31,4,Sam Champion,1,Sam Champion,Cheryl Burke,1.0,1,Trevor Donovan,Emma Slater,0.0,0
31,5,"Selma Blair, Joseph Baena",2,"Joseph Baena, Vinny Guadagnino","Daniella Karagach, Koko Iwasaki",0.5,0,"Shangela, Vinny Guadagnino","Gleb Savchenko, Koko Iwasaki",0.0,0
31,6,Jessie James Decker,1,Jessie James Decker,Alan Bersten,1.0,1,Vinny Guadagnino,Koko Iwasaki,0.0,0
31,7,Jordin Sparks,1,Jordin Sparks,Brandon Armstrong,1.0,1,Heidi D'Amelio,Artem Chigvintsev,0.0,0
31,8,"Heidi D'Amelio, Vinny Guadagnino",2,"Vinny Guadagnino, Heidi D'Amelio","Koko Iwasaki, Artem Chigvintsev",1.0,1,"Vinny Guadagnino, Heidi D'Amelio","Koko Iwasaki, Artem Chigvintsev",1.0,1
31,9,"Trevor Donovan, Daniel Durant",2,"Trevor Donovan, Daniel Durant","Emma Slater, Britt Stewart",1.0,1,"Trevor Donovan, Daniel Durant","Emma Slater, Britt Stewart",1.0,1
32,1,Matt Walsh,1,Matt Walsh,Koko Iwasaki,1.0,1,Matt Walsh,Koko Iwasaki,1.0,1
32,2,Jamie Lynn Spears,1,Mauricio Umansky,Emma Slater,0.0,0,Mauricio Umansky,Emma Slater,0.0,0
32,3,Tyson Beckford,1,Tyson Beckford,Jenna Johnson,1.0,1,Tyson Beckford,Jenna Johnson,1.0,1
32,4,Adrian Peterson,1,Barry Williams,Peta Murgatroyd,0.0,0,Alyson Hannigan,Sasha Farber,0.0,0
32,5,Mira Sorvino,1,Mira Sorvino,Gleb Savchenko,1.0,1,Harry Jowsey,Rylee Arnold,0.0,0
32,6,Mauricio Umansky,1,Mauricio Umansky,Emma Slater,1.0,1,Barry Williams,Peta Murgatroyd,0.0,0
32,7,Lele Pons,1,Barry Williams,Peta Murgatroyd,0.0,0,Harry Jowsey,Rylee Arnold,0.0,0
32,8,Barry Williams,1,Harry Jowsey,Rylee Arnold,0.0,0,Barry Williams,Peta Murgatroyd,1.0,1
32,9,Harry Jowsey,1,Harry Jowsey,Rylee Arnold,1.0,1,Harry Jowsey,Rylee Arnold,1.0,1
33,2,"Anna Delvey, Tori Spelling",2,"Anna Delvey, Eric Roberts","Ezra Sosa, Britt Stewart",0.5,0,"Reginald VelJohnson, Anna Delvey","Emma Slater, Ezra Sosa",0.5,0
33,3,"Reginald VelJohnson, Eric Roberts",2,"Reginald VelJohnson, Eric Roberts","Emma Slater, Britt Stewart",1.0,1,"Eric Roberts, Reginald VelJohnson","Britt Stewart, Emma Slater",1.0,1
33,4,Brooks Nader,1,Dwight Howard ,Daniella Karagach,0.0,0,Dwight Howard ,Daniella Karagach,0.0,0
33,5,Phaedra Parks,1,Phaedra Parks,Val Chmerkovskiy,1.0,1,Stephen Nedoroscik,Rylee Arnold,0.0,0
33,6,Jenn Tran,1,Ilona Maher,Alan Bersten,0.0,0,Ilona Maher,Alan Bersten,0.0,0
33,7,Dwight Howard ,1,Dwight Howard ,Daniella Karagach,1.0,1,Danny Amendola,Witney Carson,0.0,0
34,2,"Baron Davis, Corey Feldman",2,"Corey Feldman, Baron Davis","Jenna Johnson, Britt Stewart",1.0,1,"Andy Richter, Corey Feldman","Emma Slater/Kaitlyn Bristowe (week 9), Jenna Johnson",0.5,0
34,3,Lauren Jauregui,1,Lauren Jauregui,Brandon Armstrong,1.0,1,Lauren Jauregui,Brandon Armstrong,1.0,1
34,4,Hilaria Baldwin,1,Andy Richter,Emma Slater/Kaitlyn Bristowe (week 9),0.0,0,Andy Richter,Emma Slater/Kaitlyn Bristowe (week 9),0.0,0
34,6,Scott Hoying,1,Scott Hoying,Rylee Arnold,1.0,1,Andy Richter,Emma Slater/Kaitlyn Bristowe (week 9),0.0,0
34,7,Jen Affleck,1,Jen Affleck,Jan Ravnik,1.0,1,Danielle Fishel,Pasha Pashkov,0.0,0
34,8,Danielle Fishel,1,Danielle Fishel,Pasha Pashkov,1.0,1,Elaine Hendrix,Alan Bersten (Rashad Jennings week 9),0.0,0
34,9,Andy Richter,1,Andy Richter,Emma Slater/Kaitlyn Bristowe (week 9),1.0,1,Elaine Hendrix,Alan Bersten (Rashad Jennings week 9),0.0,0
34,10,Whitney Leavitt,1,Dylan Efron,Daniella Karagach (Rumer Willis week 9),0.0,0,Elaine Hendrix,Alan Bersten (Rashad Jennings week 9),0.0,0
